RegionsID,CANTON17nom,CANTON17code,DV1_participation_percent,DV2_participation_percent
19,Aargau,AG,61.1,56.8
16,Appenzell Innerrhoden ,AI,66.7,66.7
15,Appenzell Ausserrhoden ,AR,58.3,50
2,Bern,BE,55.3,66.6
13,Basel-Stadt ,BS,90.1,51
12,Basel-Land,BL,55.5,55.5
10,Fribourg / Freiburg,FR,52.5,50
25,Genève,GE,46,39.1
8,Glarus,GL,66.7,100
18,Graubünden / Grischuns / Grigioni,GR,61.1,58.3
26,Jura,JU,80,50
3,Luzern,LU,55.7,52.1
24,Neuchâtel ,NE,51.5,51.5
7,Nidwalden,NW,53.3,40
6,Obwalden,OW,53.3,90
17,St.Gallen ,SG,85.7,52.5
14,Schaffhausen ,SH,53.3,40
11,Solothurn ,SO,48.7,46.1
5,Schwyz ,SZ,66.7,54.5
20,Thurgau ,TG,80,52
21,Ticino ,TI,53.5,60
4,Uri,UR,44.5,44.5
22,Vaud,VD,54.7,70
23,Valais / Wallis,VS,56.4,50
9,Zug,ZG,55.5,44.5
1,Zürich,ZH,56.3,52.8
